code	diisplay	definition
1492-8	Cochiti	Cochiti
1493-6	Hopi	Hopi
1494-4	Isleta	Isleta
1495-1	Jemez	Jemez
1496-9	Keres	Keres
1497-7	Laguna	Laguna
1498-5	Nambe	Nambe
1499-3	Picuris	Picuris
1500-8	Piro	Piro
1501-6	Pojoaque	Pojoaque
1502-4	San Felipe	San Felipe
1503-2	San Ildefonso	San Ildefonso
1504-0	San Juan Pueblo	San Juan Pueblo
1505-7	San Juan De	San Juan De
1506-5	San Juan	San Juan
1507-3	Sandia	Sandia
1508-1	Santa Ana	Santa Ana
1509-9	Santa Clara	Santa Clara
1510-7	Santo Domingo	Santo Domingo
1511-5	Taos	Taos
1512-3	Tesuque	Tesuque
1513-1	Tewa	Tewa
1514-9	Tigua	Tigua
1515-6	Zia	Zia
1516-4	Zuni	Zuni
1519-8	Duwamish	Duwamish
1520-6	Kikiallus	Kikiallus
1521-4	Lower Skagit	Lower Skagit
1522-2	Muckleshoot	Muckleshoot
1523-0	Nisqually	Nisqually
1524-8	Nooksack	Nooksack
1525-5	Port Madison	Port Madison
1526-3	Puyallup	Puyallup
1527-1	Samish	Samish
1528-9	Sauk-Suiattle	Sauk-Suiattle
1529-7	Skokomish	Skokomish
1530-5	Skykomish	Skykomish
1531-3	Snohomish	Snohomish
1532-1	Snoqualmie	Snoqualmie
1533-9	Squaxin Island	Squaxin Island
1534-7	Steilacoom	Steilacoom
1535-4	Stillaguamish	Stillaguamish
1536-2	Suquamish	Suquamish
1537-0	Swinomish	Swinomish
1538-8	Tulalip	Tulalip
1539-6	Upper Skagit	Upper Skagit
1552-9	Iowa Sac and Fox	Iowa Sac and Fox
1553-7	Missouri Sac and Fox	Missouri Sac and Fox
1554-5	Oklahoma Sac and Fox	Oklahoma Sac and Fox
1567-7	Big Cypress	Big Cypress
1568-5	Brighton	Brighton
1569-3	Florida Seminole	Florida Seminole
1570-1	Hollywood Seminole	Hollywood Seminole
1571-9	Oklahoma Seminole	Oklahoma Seminole
1574-3	San Manual	San Manual
