code	diisplay	definition
1167-6	Coeur D'Alene	Coeur D'Alene
1169-2	Coharie	Coharie
1171-8	Colorado River	Colorado River
1173-4	Colville	Colville
1175-9	Comanche	Comanche
1178-3	Coos, Lower Umpqua, Siuslaw	Coos, Lower Umpqua, Siuslaw
1180-9	Coos	Coos
1182-5	Coquilles	Coquilles
1184-1	Costanoan	Costanoan
1186-6	Coushatta	Coushatta
1189-0	Cowlitz	Cowlitz
1191-6	Cree	Cree
1193-2	Creek	Creek
1207-0	Croatan	Croatan
1209-6	Crow	Crow
1211-2	Cupeno	Cupeno
1214-6	Delaware	Delaware
1222-9	Diegueno	Diegueno
1233-6	Eastern Tribes	Eastern Tribes
1250-0	Esselen	Esselen
1252-6	Fort Belknap	Fort Belknap
1254-2	Fort Berthold	Fort Berthold
1256-7	Fort Mcdowell	Fort Mcdowell
1258-3	Fort Hall	Fort Hall
1260-9	Gabrieleno	Gabrieleno
1262-5	Grand Ronde	Grand Ronde
1264-1	Gros Ventres	Gros Ventres
1267-4	Haliwa	Haliwa
1269-0	Hidatsa	Hidatsa
1271-6	Hoopa	Hoopa
1275-7	Hoopa Extension	Hoopa Extension
1277-3	Houma	Houma
1279-9	Inaja-Cosmit	Inaja-Cosmit
1281-5	Iowa	Iowa
1285-6	Iroquois	Iroquois
1297-1	Juaneno	Juaneno
1299-7	Kalispel	Kalispel
1301-1	Karuk	Karuk
1303-7	Kaw	Kaw
1305-2	Kickapoo	Kickapoo
1309-4	Kiowa	Kiowa
1312-8	Klallam	Klallam
1317-7	Klamath	Klamath
1319-3	Konkow	Konkow
1321-9	Kootenai	Kootenai
1323-5	Lassik	Lassik
1325-0	Long Island	Long Island
1331-8	Luiseno	Luiseno
1340-9	Lumbee	Lumbee
1342-5	Lummi	Lummi
1344-1	Maidu	Maidu
1348-2	Makah	Makah
1350-8	Maliseet	Maliseet
1352-4	Mandan	Mandan
1354-0	Mattaponi	Mattaponi
1356-5	Menominee	Menominee
1358-1	Miami	Miami
1363-1	Miccosukee	Miccosukee
1365-6	Micmac	Micmac
1368-0	Mission Indians	Mission Indians
1370-6	Miwok	Miwok
1372-2	Modoc	Modoc
1374-8	Mohegan	Mohegan
1376-3	Mono	Mono
1378-9	Nanticoke	Nanticoke
1380-5	Narragansett	Narragansett
1382-1	Navajo	Navajo
1387-0	Nez Perce	Nez Perce
1389-6	Nomalaki	Nomalaki
1391-2	Northwest Tribes	Northwest Tribes
1403-5	Omaha	Omaha
1405-0	Oregon Athabaskan	Oregon Athabaskan
1407-6	Osage	Osage
1409-2	Otoe-Missouria	Otoe-Missouria
1411-8	Ottawa	Ottawa
1416-7	Paiute	Paiute
1439-9	Pamunkey	Pamunkey
1441-5	Passamaquoddy	Passamaquoddy
1445-6	Pawnee	Pawnee
1448-0	Penobscot	Penobscot
1450-6	Peoria	Peoria
1453-0	Pequot	Pequot
1456-3	Pima	Pima
1460-5	Piscataway	Piscataway
1462-1	Pit River	Pit River
1464-7	Pomo	Pomo
1474-6	Ponca	Ponca
1478-7	Potawatomi	Potawatomi
1487-8	Powhatan	Powhatan
1489-4	Pueblo	Pueblo
1518-0	Puget Sound Salish	Puget Sound Salish
1541-2	Quapaw	Quapaw
1543-8	Quinault	Quinault
1545-3	Rappahannock	Rappahannock
1547-9	Reno-Sparks	Reno-Sparks
1549-5	Round Valley	Round Valley
1551-1	Sac and Fox	Sac and Fox
1556-0	Salinan	Salinan
1558-6	Salish	Salish
1560-2	Salish and Kootenai	Salish and Kootenai
1562-8	Schaghticoke	Schaghticoke
1564-4	Scott Valley	Scott Valley
1566-9	Seminole	Seminole
1573-5	Serrano	Serrano
1576-8	Shasta	Shasta
1578-4	Shawnee	Shawnee
1582-6	Shinnecock	Shinnecock
1584-2	Shoalwater Bay	Shoalwater Bay
1586-7	Shoshone	Shoshone
1602-2	Shoshone Paiute	Shoshone Paiute
1607-1	Siletz	Siletz
1609-7	Sioux	Sioux
1643-6	Siuslaw	Siuslaw
1645-1	Spokane	Spokane
1647-7	Stewart	Stewart
1649-3	Stockbridge	Stockbridge
1651-9	Susanville	Susanville
1653-5	Tohono O'Odham	Tohono O'Odham
1659-2	Tolowa	Tolowa
1661-8	Tonkawa	Tonkawa
1663-4	Tygh	Tygh
1665-9	Umatilla	Umatilla
1667-5	Umpqua	Umpqua
1670-9	Ute	Ute
1675-8	Wailaki	Wailaki
1677-4	Walla-Walla	Walla-Walla
1679-0	Wampanoag	Wampanoag
1683-2	Warm Springs	Warm Springs
1685-7	Wascopum	Wascopum
1687-3	Washoe	Washoe
1692-3	Wichita	Wichita
1694-9	Wind River	Wind River
1696-4	Winnebago	Winnebago
1700-4	Winnemucca	Winnemucca
1702-0	Wintun	Wintun
1704-6	Wiyot	Wiyot
1707-9	Yakama	Yakama
1709-5	Yakama Cowlitz	Yakama Cowlitz
1711-1	Yaqui	Yaqui
1715-2	Yavapai Apache	Yavapai Apache
1717-8	Yokuts	Yokuts
1722-8	Yuchi	Yuchi
1724-4	Yuman	Yuman
1732-7	Yurok	Yurok
1011-6	Chiricahua	Chiricahua
1012-4	Fort Sill Apache	Fort Sill Apache
1013-2	Jicarilla Apache	Jicarilla Apache
1014-0	Lipan Apache	Lipan Apache
1015-7	Mescalero Apache	Mescalero Apache
1016-5	Oklahoma Apache	Oklahoma Apache
1017-3	Payson Apache	Payson Apache
1018-1	San Carlos Apache	San Carlos Apache
1019-9	White Mountain Apache	White Mountain Apache
1022-3	Northern Arapaho	Northern Arapaho
1023-1	Southern Arapaho	Southern Arapaho
1024-9	Wind River Arapaho	Wind River Arapaho
1031-4	Fort Peck Assiniboine Sioux	Fort Peck Assiniboine Sioux
1042-1	Oklahoma Cado	Oklahoma Cado
1045-4	Agua Caliente Cahuilla	Agua Caliente Cahuilla
1046-2	Augustine	Augustine
1047-0	Cabazon	Cabazon
1048-8	Los Coyotes	Los Coyotes
1049-6	Morongo	Morongo
1050-4	Santa Rosa Cahuilla	Santa Rosa Cahuilla
1051-2	Torres-Martinez	Torres-Martinez
1054-6	Cahto	Cahto
1055-3	Chimariko	Chimariko
1056-1	Coast Miwok	Coast Miwok
1057-9	Digger	Digger
1058-7	Kawaiisu	Kawaiisu
1059-5	Kern River	Kern River
1060-3	Mattole	Mattole
1061-1	Red Wood	Red Wood
1062-9	Santa Rosa	Santa Rosa
1063-7	Takelma	Takelma
1064-5	Wappo	Wappo
1065-2	Yana	Yana
1066-0	Yuki	Yuki
1069-4	Canadian Indian	Canadian Indian
1070-2	Central American Indian	Central American Indian
1071-0	French American Indian	French American Indian
1072-8	Mexican American Indian	Mexican American Indian
1073-6	South American Indian	South American Indian
1074-4	Spanish American Indian	Spanish American Indian
1083-5	Hoh	Hoh
1084-3	Quileute	Quileute
1089-2	Cherokee Alabama	Cherokee Alabama
1090-0	Cherokees of Northeast Alabama	Cherokees of Northeast Alabama
1091-8	Cherokees of Southeast Alabama	Cherokees of Southeast Alabama
1092-6	Eastern Cherokee	Eastern Cherokee
1093-4	Echota Cherokee	Echota Cherokee
1094-2	Etowah Cherokee	Etowah Cherokee
1095-9	Northern Cherokee	Northern Cherokee
1096-7	Tuscola	Tuscola
1097-5	United Keetowah Band of Cherokee	United Keetowah Band of Cherokee
1098-3	Western Cherokee	Western Cherokee
1103-1	Northern Cheyenne	Northern Cheyenne
1104-9	Southern Cheyenne	Southern Cheyenne
1109-8	Eastern Chickahominy	Eastern Chickahominy
1110-6	Western Chickahominy	Western Chickahominy
1115-5	Clatsop	Clatsop
1116-3	Columbia River Chinook	Columbia River Chinook
1117-1	Kathlamet	Kathlamet
1118-9	Upper Chinook	Upper Chinook
1119-7	Wakiakum Chinook	Wakiakum Chinook
1120-5	Willapa Chinook	Willapa Chinook
1121-3	Wishram	Wishram
1124-7	Bad River	Bad River
1125-4	Bay Mills Chippewa	Bay Mills Chippewa
1126-2	Bois Forte	Bois Forte
1127-0	Burt Lake Chippewa	Burt Lake Chippewa
1128-8	Fond du Lac	Fond du Lac
1129-6	Grand Portage	Grand Portage
1130-4	Grand Traverse Band of Ottawa/Chippewa	Grand Traverse Band of Ottawa/Chippewa
1131-2	Keweenaw	Keweenaw
1132-0	Lac Courte Oreilles	Lac Courte Oreilles
1133-8	Lac du Flambeau	Lac du Flambeau
1134-6	Lac Vieux Desert Chippewa	Lac Vieux Desert Chippewa
1135-3	Lake Superior	Lake Superior
1136-1	Leech Lake	Leech Lake
1137-9	Little Shell Chippewa	Little Shell Chippewa
1138-7	Mille Lacs	Mille Lacs
1139-5	Minnesota Chippewa	Minnesota Chippewa
1140-3	Ontonagon	Ontonagon
1141-1	Red Cliff Chippewa	Red Cliff Chippewa
1142-9	Red Lake Chippewa	Red Lake Chippewa
1143-7	Saginaw Chippewa	Saginaw Chippewa
1144-5	St. Croix Chippewa	St. Croix Chippewa
1145-2	Sault Ste. Marie Chippewa	Sault Ste. Marie Chippewa
1146-0	Sokoagon Chippewa	Sokoagon Chippewa
1147-8	Turtle Mountain	Turtle Mountain
1148-6	White Earth	White Earth
1151-0	Rocky Boy's Chippewa Cree	Rocky Boy's Chippewa Cree
1156-9	Clifton Choctaw	Clifton Choctaw
1157-7	Jena Choctaw	Jena Choctaw
1158-5	Mississippi Choctaw	Mississippi Choctaw
1159-3	Mowa Band of Choctaw	Mowa Band of Choctaw
